,Condicion Cuenta,Cuenta,Tipo de evento,Evento cercano,Link,Relacion con tema,ID
,En contra,El Destape,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=DKbcOpOuj0g,Si,DKbcOpOuj0g
,En contra,El Destape,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=knyXZxZpw18,Si,knyXZxZpw18
,En contra,El Destape,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=TdXQebrZgBU,Si,TdXQebrZgBU
,En contra,El Destape,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=TjXLCGm8CYM,Si,TjXLCGm8CYM
,En contra,El Destape,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=a5qjO_NuXwQ,Si,a5qjO_NuXwQ
,En contra,El Destape,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=SdWYW1WZTuo,Si,SdWYW1WZTuo
,En contra,El Destape,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=A9LteAmr7eI,Si,A9LteAmr7eI
,En contra,El Destape,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=zgXPaISv2XI,Si,zgXPaISv2XI
,En contra,El Destape,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=Yc6mj6ZkYPI,Si,Yc6mj6ZkYPI
,En contra,El Destape,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=hKWm-FhORNM,Si,hKWm-FhORNM
,En contra,El Destape,Favorable,Aprobación total Ley bases,https://www.youtube.com/watch?v=5W8DA4haoMs,Si,5W8DA4haoMs
,En contra,El Destape,Favorable,Aprobación total Ley bases,https://www.youtube.com/watch?v=jYAnhMnuXS0,Si,jYAnhMnuXS0
,En contra,El Destape,Favorable,Aprobación total Ley bases,https://www.youtube.com/watch?v=t8LI9Q3kLcU,Si,t8LI9Q3kLcU
,En contra,El Destape,Favorable,Aprobación total Ley bases,https://www.youtube.com/watch?v=tI6OhC_YmvU,Si,tI6OhC_YmvU
,En contra,El Destape,Favorable,Aprobación total Ley bases,https://www.youtube.com/watch?v=IdNO7b2G3eg,Si,IdNO7b2G3eg
,En contra,El Destape,Favorable,Aprobación total Ley bases,https://www.youtube.com/watch?v=O2OY5oqZUN4,Si,O2OY5oqZUN4
,En contra,El Destape,Favorable,Aprobación total Ley bases,https://www.youtube.com/watch?v=R18CYMjzI20,Si,R18CYMjzI20
,En contra,El Destape,Favorable,Aprobación total Ley bases,https://www.youtube.com/watch?v=mvde_S_rm78,Si,mvde_S_rm78
,En contra,El Destape,Favorable,Aprobación total Ley bases,https://www.youtube.com/watch?v=TV8hSeWesXc,Si,TV8hSeWesXc
